antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'강남'}),frozenset({'홍대'}),0.37748344370860926,0.31788079470198677,0.1986754966887417,0.5263157894736842,1.6557017543859647,0.07868075961580631,1.4400294334069166,0.6361702127659573
frozenset({'홍대'}),frozenset({'강남'}),0.31788079470198677,0.37748344370860926,0.1986754966887417,0.6249999999999999,1.6557017543859647,0.07868075961580631,1.6600441501103749,0.5805825242718446
frozenset({'신촌'}),frozenset({'홍대'}),0.2980132450331126,0.31788079470198677,0.152317880794702,0.5111111111111111,1.6078703703703703,0.05758519363185824,1.3952438290186633,0.5385561936013125
frozenset({'홍대'}),frozenset({'신촌'}),0.31788079470198677,0.2980132450331126,0.152317880794702,0.47916666666666663,1.60787037037037,0.05758519363185824,1.3478145695364239,0.5542422963275643
frozenset({'강남'}),frozenset({'신촌'}),0.37748344370860926,0.2980132450331126,0.152317880794702,0.4035087719298246,1.3539961013645225,0.039822814788825045,1.1768601480327232,0.4199814986123958
frozenset({'신촌'}),frozenset({'강남'}),0.2980132450331126,0.37748344370860926,0.152317880794702,0.5111111111111111,1.3539961013645223,0.039822814788825045,1.2733293196869355,0.37243642329778504
"frozenset({'강남', '신촌'})",frozenset({'홍대'}),0.152317880794702,0.31788079470198677,0.11920529801324503,0.782608695652174,2.4619565217391304,0.07078636901890267,3.137748344370861,0.7005208333333333
"frozenset({'강남', '홍대'})",frozenset({'신촌'}),0.1986754966887417,0.2980132450331126,0.11920529801324503,0.6,2.013333333333333,0.0599973685364677,1.7549668874172186,0.628099173553719
"frozenset({'신촌', '홍대'})",frozenset({'강남'}),0.152317880794702,0.37748344370860926,0.11920529801324503,0.782608695652174,2.073226544622426,0.06170781983246349,2.8635761589403983,0.6106770833333334
frozenset({'강남'}),"frozenset({'신촌', '홍대'})",0.37748344370860926,0.152317880794702,0.11920529801324503,0.3157894736842105,2.0732265446224254,0.06170781983246349,1.238920020376974,0.8315602836879432
frozenset({'신촌'}),"frozenset({'강남', '홍대'})",0.2980132450331126,0.1986754966887417,0.11920529801324503,0.39999999999999997,2.013333333333333,0.0599973685364677,1.3355408388520968,0.7169811320754718
frozenset({'홍대'}),"frozenset({'강남', '신촌'})",0.31788079470198677,0.152317880794702,0.11920529801324503,0.375,2.4619565217391304,0.07078636901890267,1.3562913907284768,0.8705501618122977
frozenset({'신촌'}),frozenset({'연희'}),0.2980132450331126,0.271523178807947,0.15894039735099338,0.5333333333333333,1.9642276422764227,0.07802289373273102,1.5610217596972562,0.6992924528301886
frozenset({'연희'}),frozenset({'신촌'}),0.271523178807947,0.2980132450331126,0.15894039735099338,0.5853658536585367,1.9642276422764229,0.07802289373273102,1.693026879626023,0.6738636363636364
frozenset({'강남'}),frozenset({'연희'}),0.37748344370860926,0.271523178807947,0.12582781456953643,0.33333333333333337,1.2276422764227644,0.02333230998640412,1.0927152317880795,0.29787234042553207
frozenset({'연희'}),frozenset({'강남'}),0.271523178807947,0.37748344370860926,0.12582781456953643,0.4634146341463415,1.2276422764227644,0.02333230998640412,1.1601444912703192,0.25454545454545474
frozenset({'연희'}),frozenset({'홍대'}),0.271523178807947,0.31788079470198677,0.11258278145695365,0.41463414634146345,1.304369918699187,0.0262707775974738,1.1652869757174393,0.32032085561497337
frozenset({'홍대'}),frozenset({'연희'}),0.31788079470198677,0.271523178807947,0.11258278145695365,0.3541666666666667,1.304369918699187,0.0262707775974738,1.1279641102328564,0.3420902341519133
"frozenset({'강남', '신촌'})",frozenset({'연희'}),0.152317880794702,0.271523178807947,0.10596026490066225,0.6956521739130435,2.5620360551431602,0.06460242971799482,2.3935666982024593,0.7192382812499999
"frozenset({'강남', '연희'})",frozenset({'신촌'}),0.12582781456953643,0.2980132450331126,0.10596026490066225,0.8421052631578947,2.8257309941520465,0.06846190956536993,4.445916114790286,0.7391098484848484
"frozenset({'신촌', '연희'})",frozenset({'강남'}),0.15894039735099338,0.37748344370860926,0.10596026490066225,0.6666666666666666,1.7660818713450293,0.04596289636419455,1.8675496688741722,0.515748031496063
frozenset({'강남'}),"frozenset({'신촌', '연희'})",0.37748344370860926,0.15894039735099338,0.10596026490066225,0.2807017543859649,1.766081871345029,0.04596289636419455,1.16927798417057,0.6968085106382977
frozenset({'신촌'}),"frozenset({'강남', '연희'})",0.2980132450331126,0.12582781456953643,0.10596026490066225,0.3555555555555555,2.8257309941520465,0.06846190956536993,1.3564740808403744,0.9204009433962262
frozenset({'연희'}),"frozenset({'강남', '신촌'})",0.271523178807947,0.152317880794702,0.10596026490066225,0.3902439024390244,2.5620360551431602,0.06460242971799482,1.3901986754966889,0.8369318181818182
frozenset({'삼성'}),frozenset({'강남'}),0.25165562913907286,0.37748344370860926,0.152317880794702,0.6052631578947368,1.6034164358264082,0.057322047278628135,1.5770419426048568,0.5028857252789535
frozenset({'강남'}),frozenset({'삼성'}),0.37748344370860926,0.25165562913907286,0.152317880794702,0.4035087719298246,1.6034164358264082,0.057322047278628135,1.2545773276197898,0.6045328399629972
frozenset({'삼성'}),frozenset({'연희'}),0.25165562913907286,0.271523178807947,0.10596026490066225,0.42105263157894735,1.5507060333761231,0.03762992851190737,1.258278145695364,0.47455752212389374
frozenset({'연희'}),frozenset({'삼성'}),0.271523178807947,0.25165562913907286,0.10596026490066225,0.3902439024390244,1.5507060333761233,0.03762992851190737,1.2272847682119206,0.4875
frozenset({'삼성'}),frozenset({'신촌'}),0.25165562913907286,0.2980132450331126,0.10596026490066225,0.42105263157894735,1.4128654970760233,0.030963554230077614,1.2125225767609873,0.3904867256637166
frozenset({'신촌'}),frozenset({'삼성'}),0.2980132450331126,0.25165562913907286,0.10596026490066225,0.3555555555555555,1.4128654970760233,0.030963554230077614,1.1612240237497145,0.41627358490566013
frozenset({'강남'}),frozenset({'신사'}),0.37748344370860926,0.25165562913907286,0.11920529801324503,0.3157894736842105,1.2548476454293627,0.02420946449717118,1.0937340804890474,0.326241134751773
frozenset({'신사'}),frozenset({'강남'}),0.25165562913907286,0.37748344370860926,0.11920529801324503,0.47368421052631576,1.254847645429363,0.02420946449717118,1.1827814569536423,0.27138643067846613
frozenset({'신촌'}),frozenset({'신사'}),0.2980132450331126,0.25165562913907286,0.11258278145695365,0.37777777777777777,1.5011695906432747,0.03758607078636901,1.2026963103122044,0.47558268590455033
frozenset({'신사'}),frozenset({'신촌'}),0.25165562913907286,0.2980132450331126,0.11258278145695365,0.4473684210526316,1.5011695906432747,0.03758607078636901,1.2702617470829394,0.44612181155648084
frozenset({'논현'}),frozenset({'압구정'}),0.23178807947019867,0.23178807947019867,0.11920529801324503,0.5142857142857143,2.218775510204082,0.0654795842287619,1.581612777561356,0.7150383141762453
frozenset({'압구정'}),frozenset({'논현'}),0.23178807947019867,0.23178807947019867,0.11920529801324503,0.5142857142857143,2.218775510204082,0.0654795842287619,1.581612777561356,0.7150383141762453
frozenset({'합정'}),frozenset({'홍대'}),0.1986754966887417,0.31788079470198677,0.16556291390728478,0.8333333333333335,2.621527777777778,0.10240778913205563,4.092715231788083,0.771900826446281
frozenset({'홍대'}),frozenset({'합정'}),0.31788079470198677,0.1986754966887417,0.16556291390728478,0.5208333333333334,2.621527777777778,0.10240778913205563,1.6723293982148,0.9067961165048545
frozenset({'신촌'}),frozenset({'합정'}),0.2980132450331126,0.1986754966887417,0.11258278145695365,0.37777777777777777,1.9014814814814816,0.053374851980176316,1.2878429517502366,0.6753607103218646
frozenset({'합정'}),frozenset({'신촌'}),0.1986754966887417,0.2980132450331126,0.11258278145695365,0.5666666666666668,1.9014814814814816,0.053374851980176316,1.6199694345389715,0.5916383082158484
frozenset({'강남'}),frozenset({'합정'}),0.37748344370860926,0.1986754966887417,0.11258278145695365,0.29824561403508776,1.5011695906432752,0.03758607078636904,1.1418874172185431,0.5362953692115145
frozenset({'합정'}),frozenset({'강남'}),0.1986754966887417,0.37748344370860926,0.11258278145695365,0.5666666666666668,1.5011695906432752,0.03758607078636904,1.4365766683647483,0.4166261545940692
frozenset({'합정'}),frozenset({'상수'}),0.1986754966887417,0.17218543046357615,0.13245033112582782,0.6666666666666667,3.8717948717948723,0.09824130520591204,2.483443708609272,0.9256198347107438
frozenset({'상수'}),frozenset({'합정'}),0.17218543046357615,0.1986754966887417,0.13245033112582782,0.7692307692307694,3.8717948717948727,0.09824130520591204,3.472406181015455,0.896
frozenset({'상수'}),frozenset({'홍대'}),0.17218543046357615,0.31788079470198677,0.12582781456953643,0.7307692307692308,2.2988782051282053,0.07109337309767116,2.5335856196783353,0.6825263157894738
frozenset({'홍대'}),frozenset({'상수'}),0.31788079470198677,0.17218543046357615,0.12582781456953643,0.3958333333333333,2.2988782051282053,0.07109337309767116,1.3701758392327015,0.8283086356668371
"frozenset({'합정', '홍대'})",frozenset({'상수'}),0.16556291390728478,0.17218543046357615,0.11920529801324503,0.72,4.181538461538461,0.0906977764133152,2.956480605487228,0.911816578483245
"frozenset({'합정', '상수'})",frozenset({'홍대'}),0.13245033112582782,0.31788079470198677,0.11920529801324503,0.8999999999999999,2.8312499999999994,0.07710188149642558,6.821192052980126,0.7455470737913484
"frozenset({'상수', '홍대'})",frozenset({'합정'}),0.12582781456953643,0.1986754966887417,0.11920529801324503,0.9473684210526315,4.768421052631579,0.09420639445638349,15.225165562913892,0.904040404040404
frozenset({'합정'}),"frozenset({'상수', '홍대'})",0.1986754966887417,0.12582781456953643,0.11920529801324503,0.6,4.768421052631578,0.09420639445638349,2.185430463576159,0.9862258953168043
